id,preco
13518783164498355150900635905895481162,130342.359375
299896161723793383246777788797566040330,130342.359375
316180649972302128246133616457018378621,274244.125
222527157104148385909188217274642813298,112290.8828125
160460343059850745858546502614838368036,130342.359375
262727202368986244371977784343233436999,130342.359375
254093764205800086330999281077926851120,93833.609375
26118184613036116787803832945215674478,274244.125
216524630140335566712794225427064313,93833.609375
185631381169816366226494379020452029389,199771.015625
193325654448132563278364141820152041311,72354.8359375
238917637717691361625086479663492481749,206711.40625
55430829679256880238551444522175018156,130342.359375
215317645068876070368783807654911699750,199771.015625
81597227204971961501733390453078413740,93833.609375
144896666825908872755051834814298387194,130342.359375
184599608599423525451999366981389806783,78282.65625
332523842755767369964829329030378044388,130342.359375
115343777354602647202140618045743635008,72354.8359375
20757170217235469489036110086071917277,103826.15625
185526399598537813925895625787601650168,93833.609375
60658042813489826886245400795986219027,103826.15625
252469656136469704862465423825396909961,130342.359375
144289133420257677937750963126363910239,130342.359375
286704706212186527658783613441315754259,130342.359375
104788498292328609834480593297039083847,130342.359375
83091551517048057678460117003997132666,130342.359375
253819240599250454081144283787356606601,130342.359375
47552100267769170589122325402191982347,103826.15625
143932540867090135955180920741784357244,274244.125
196345985565471044954698780677909306202,96361.796875
244792708737468723430839923035345593106,130342.359375
84589940414664494482357035061818012137,103826.15625
272199586960887794853261858460695880945,230346.984375
49959439507026713714422386346459644032,65236.82421875
281026519311657672970881937258693325762,72354.8359375
93074564150014753673961081882123830374,93833.609375
26728401390792884431172378844166640182,130342.359375
188211565885838356078706489204052877949,117499.8046875
72487946181948797581370306862646034491,112290.8828125
228864048115975611203958077134700148633,130342.359375
112454259487642510247400972640243226784,130342.359375
222663295482952330188872827964862490542,328150.21875
174300102534868734265445704595501072047,328150.21875
65616068149477861830943576277231644996,274244.125
12512429268260634755522419284910697215,130342.359375
336344009530167442733355949279054127993,130342.359375
79522286518792634854353998912967788405,130342.359375
82689802293775881487902613650793199776,130342.359375
145087209205382180995284342956932775590,93833.609375
148379644220249469735831915363404593938,130342.359375
81783415914068556337040372580510327746,130342.359375
17392005129747944984443660408573750669,130342.359375
221003909581330971303914733428302885356,130342.359375
32270994133870633595828638411924379558,130342.359375
44743423162474884539743903954385097896,93833.609375
256739781367016694034266877805520625472,130342.359375
102069821313289958956134954896763391138,93833.609375
295239204594155572903470420706758961711,85187.09375
217043924033496343963491521400562422856,130342.359375
230630223901851276472648163541398202700,130342.359375
228794583325189840821498523768389390979,93833.609375
226883211751919793077312253417502568887,130342.359375
178727794896076301413017290746899811351,328150.25
233324434070255280697734700180958891999,117499.8046875
120196782885257163651164953359063822616,93833.609375
307587965035124177469706843302286678852,130342.359375
147918433942232310306879997092064646229,130342.359375
322862357217576382174561616320866894896,96361.796875
239523402888574028389406143855331971634,209787.34375
113509983214540261664688743850173663995,77020.0859375
109891169875096641331353504149265117244,103826.15625
14047284765259674200352849951505593080,130342.359375
185048785858081984334746723407963750558,93833.609375
233408161489868303803711823496315975517,130342.359375
